queue,mode,producers,consumers,oversubscribe,capacity,qos,seconds,rate,trial,ops,elapsed_s,throughput_mops,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,fair_cov,calib_ns,peak_rss_mb,unix_time
mutex,throughput,2,2,1,1024,none,2.00,1000000,5,47726707,2.0049,23.805,0.0,0,0,0,0,0.0202,119092125,1.4,1783273045
moody,throughput,2,2,1,1024,none,2.00,1000000,5,25708060,2.0051,12.821,0.0,0,0,0,0,0.0004,118333791,1.2,1783273047
ms,throughput,4,4,1,1024,none,2.00,1000000,5,11814620,2.0052,5.892,0.0,0,0,0,0,0.0263,123000958,12.9,1783273050
vyukov,throughput,4,4,1,1024,none,2.00,1000000,5,15491875,2.0051,7.726,0.0,0,0,0,0,0.0224,117709334,1.3,1783273052
faa,throughput,4,4,1,1024,none,2.00,1000000,5,32537165,2.0041,16.235,0.0,0,0,0,0,0.0023,118326916,1.3,1783273055
mutex,throughput,4,4,1,1024,none,2.00,1000000,5,38100121,2.0052,19.001,0.0,0,0,0,0,0.0062,122757292,1.6,1783273057
moody,throughput,4,4,1,1024,none,2.00,1000000,5,16668976,2.0052,8.313,0.0,0,0,0,0,0.0788,123512459,1.4,1783273059
ms,throughput,1,7,1,1024,none,2.00,1000000,5,48253007,9.3714,5.149,0.0,0,0,0,0,0.0000,119424000,856.1,1783273069
vyukov,throughput,1,7,1,1024,none,2.00,1000000,5,10706952,2.0053,5.339,0.0,0,0,0,0,0.0000,118655042,1.3,1783273072
faa,throughput,1,7,1,1024,none,2.00,1000000,5,40615361,2.0051,20.256,0.0,0,0,0,0,0.0000,122581333,1.3,1783273074
mutex,throughput,1,7,1,1024,none,2.00,1000000,5,23281706,2.0051,11.611,0.0,0,0,0,0,0.0000,123189625,1.5,1783273077
moody,throughput,1,7,1,1024,none,2.00,1000000,5,14215326,2.0052,7.089,0.0,0,0,0,0,0.0000,122342917,1.4,1783273079
ms,throughput,7,1,1,1024,none,2.00,1000000,5,9445259,2.0044,4.712,0.0,0,0,0,0,0.0375,122711875,4.8,1783273082
vyukov,throughput,7,1,1,1024,none,2.00,1000000,5,8965899,2.0051,4.471,0.0,0,0,0,0,0.0096,112563792,1.4,1783273084
faa,throughput,7,1,1,1024,none,2.00,1000000,5,40057402,2.0051,19.977,0.0,0,0,0,0,0.0018,123971250,1.3,1783273086
mutex,throughput,7,1,1,1024,none,2.00,1000000,5,13755820,2.0047,6.862,0.0,0,0,0,0,0.0134,123273167,1.6,1783273089
moody,throughput,7,1,1,1024,none,2.00,1000000,5,9384545,2.0052,4.680,0.0,0,0,0,0,0.2443,120134292,1.5,1783273091
ms,throughput,2,6,1,1024,none,2.00,1000000,5,31637458,5.2342,6.044,0.0,0,0,0,0,0.0090,124849083,705.1,1783273097
vyukov,throughput,2,6,1,1024,none,2.00,1000000,5,12613450,2.0057,6.289,0.0,0,0,0,0,0.0117,122226541,1.3,1783273099
faa,throughput,2,6,1,1024,none,2.00,1000000,5,31719014,2.0051,15.819,0.0,0,0,0,0,0.0021,124503625,1.3,1783273102
mutex,throughput,2,6,1,1024,none,2.00,1000000,5,31587452,2.0049,15.755,0.0,0,0,0,0,0.0042,119631250,1.5,1783273104
moody,throughput,2,6,1,1024,none,2.00,1000000,5,17067700,2.0052,8.512,0.0,0,0,0,0,0.0032,122982750,1.4,1783273107
ms,throughput,6,2,1,1024,none,2.00,1000000,5,9858391,2.0005,4.928,0.0,0,0,0,0,0.0177,121793292,7.1,1783273109
vyukov,throughput,6,2,1,1024,none,2.00,1000000,5,11413814,2.0051,5.692,0.0,0,0,0,0,0.0050,125532292,1.4,1783273112
faa,throughput,6,2,1,1024,none,2.00,1000000,5,33272502,2.0051,16.594,0.0,0,0,0,0,0.0037,124281333,1.4,1783273114
mutex,throughput,6,2,1,1024,none,2.00,1000000,5,25854640,2.0019,12.915,0.0,0,0,0,0,0.0052,118694375,1.6,1783273116
moody,throughput,6,2,1,1024,none,2.00,1000000,5,13782337,2.0052,6.873,0.0,0,0,0,0,0.1848,125785458,1.5,1783273119
ms,throughput,4,4,2,1024,none,2.00,1000000,5,14625420,2.6882,5.441,0.0,0,0,0,0,0.0604,127468958,175.7,1783273122
vyukov,throughput,4,4,2,1024,none,2.00,1000000,5,3956392,2.0052,1.973,0.0,0,0,0,0,0.0908,122511875,1.5,1783273125
faa,throughput,4,4,2,1024,none,2.00,1000000,5,36136829,2.0053,18.020,0.0,0,0,0,0,0.0122,119123875,1.5,1783273127
mutex,throughput,4,4,2,1024,none,2.00,1000000,5,30057672,2.0037,15.001,0.0,0,0,0,0,0.0181,122031375,1.7,1783273129
moody,throughput,4,4,2,1024,none,2.00,1000000,5,16335339,2.0052,8.146,0.0,0,0,0,0,0.0696,123985375,1.6,1783273132
ms,throughput,4,4,4,1024,none,2.00,1000000,5,14412356,2.5456,5.662,0.0,0,0,0,0,0.0874,122219125,208.5,1783273135
vyukov,throughput,4,4,4,1024,none,2.00,1000000,5,3364906,2.0142,1.671,0.0,0,0,0,0,0.0997,121317125,1.8,1783273137
faa,throughput,4,4,4,1024,none,2.00,1000000,5,54749940,2.0045,27.314,0.0,0,0,0,0,0.0112,125920917,1.8,1783273140
mutex,throughput,4,4,4,1024,none,2.00,1000000,5,27780741,2.0054,13.853,0.0,0,0,0,0,0.1025,122626500,2.0,1783273142
moody,throughput,4,4,4,1024,none,2.00,1000000,5,15315820,2.0148,7.602,0.0,0,0,0,0,0.1092,124412542,1.9,1783273145
ms,throughput,4,4,1,1024,all-int,2.00,1000000,5,11932631,2.0053,5.950,0.0,0,0,0,0,0.0220,120711417,15.7,1783273147
vyukov,throughput,4,4,1,1024,all-int,2.00,1000000,5,15628546,2.0051,7.794,0.0,0,0,0,0,0.0402,119972250,1.3,1783273150
faa,throughput,4,4,1,1024,all-int,2.00,1000000,5,33804558,2.0051,16.859,0.0,0,0,0,0,0.0026,121734916,1.3,1783273152
mutex,throughput,4,4,1,1024,all-int,2.00,1000000,5,38308635,2.0046,19.110,0.0,0,0,0,0,0.0043,119135416,1.5,1783273154
moody,throughput,4,4,1,1024,all-int,2.00,1000000,5,15670173,2.0051,7.815,0.0,0,0,0,0,0.1005,126680042,1.4,1783273157
ms,throughput,4,4,1,1024,all-bg,2.00,1000000,5,8861690,2.8625,3.096,0.0,0,0,0,0,0.0384,122839083,139.9,1783273160
vyukov,throughput,4,4,1,1024,all-bg,2.00,1000000,5,984781,2.0054,0.491,0.0,0,0,0,0,0.1244,124429500,1.3,1783273163
faa,throughput,4,4,1,1024,all-bg,2.00,1000000,5,33443041,2.0053,16.678,0.0,0,0,0,0,0.0066,118856459,1.2,1783273165
mutex,throughput,4,4,1,1024,all-bg,2.00,1000000,5,5931698,2.0053,2.958,0.0,0,0,0,0,0.0163,124273959,1.4,1783273168
moody,throughput,4,4,1,1024,all-bg,2.00,1000000,5,5957409,2.0053,2.971,0.0,0,0,0,0,0.0396,115759209,1.4,1783273170
ms,throughput,4,4,1,1024,prod-bg,2.00,1000000,5,4711612,2.0052,2.350,0.0,0,0,0,0,0.0104,116570666,6.6,1783273172
vyukov,throughput,4,4,1,1024,prod-bg,2.00,1000000,5,9423296,2.0052,4.699,0.0,0,0,0,0,0.0110,121918250,1.3,1783273175
faa,throughput,4,4,1,1024,prod-bg,2.00,1000000,5,18338862,2.0051,9.146,0.0,0,0,0,0,0.0025,125090417,1.3,1783273177
mutex,throughput,4,4,1,1024,prod-bg,2.00,1000000,5,21086938,2.0051,10.516,0.0,0,0,0,0,0.0080,123457416,1.6,1783273180
moody,throughput,4,4,1,1024,prod-bg,2.00,1000000,5,10292207,2.0052,5.133,0.0,0,0,0,0,0.0743,124360917,1.4,1783273182
ms,throughput,4,4,1,1024,cons-bg,2.00,1000000,5,27184011,6.4000,4.248,0.0,0,0,0,0,0.0235,123995834,661.2,1783273189
vyukov,throughput,4,4,1,1024,cons-bg,2.00,1000000,5,11522217,2.0052,5.746,0.0,0,0,0,0,0.0085,118926708,1.3,1783273191
faa,throughput,4,4,1,1024,cons-bg,2.00,1000000,5,18767078,2.0052,9.359,0.0,0,0,0,0,0.0033,120417000,1.2,1783273194
mutex,throughput,4,4,1,1024,cons-bg,2.00,1000000,5,25571592,2.0051,12.753,0.0,0,0,0,0,0.0064,123933792,1.5,1783273196
moody,throughput,4,4,1,1024,cons-bg,2.00,1000000,5,3422324,2.0052,1.707,0.0,0,0,0,0,0.2045,120306334,1.4,1783273199
ms,throughput,4,4,4,64,none,2.00,1000000,5,14776913,2.9411,5.024,0.0,0,0,0,0,0.1643,123257916,234.1,1783273202
vyukov,throughput,4,4,4,64,none,2.00,1000000,5,1627737,2.0104,0.810,0.0,0,0,0,0,0.1650,123254125,1.8,1783273205
faa,throughput,4,4,4,64,none,2.00,1000000,5,5075216,2.0057,2.530,0.0,0,0,0,0,0.0008,123869542,1.7,1783273207
mutex,throughput,4,4,4,64,none,2.00,1000000,5,9432125,2.0020,4.711,0.0,0,0,0,0,0.0558,123870583,1.8,1783273210
ms,throughput,4,4,4,8192,none,2.00,1000000,5,14356554,2.7185,5.281,0.0,0,0,0,0,0.1082,115934125,194.4,1783273333
vyukov,throughput,4,4,4,8192,none,2.00,1000000,5,5426522,2.0150,2.693,0.0,0,0,0,0,0.1073,123855458,1.9,1783273335
faa,throughput,4,4,4,8192,none,2.00,1000000,5,40927824,2.0055,20.407,0.0,0,0,0,0,0.0331,123885750,1.9,1783273338
mutex,throughput,4,4,4,8192,none,2.00,1000000,5,31593378,2.0022,15.779,0.0,0,0,0,0,0.0549,123525000,2.2,1783273340
moody,throughput,4,4,4,8192,none,2.00,1000000,5,18764680,2.0158,9.309,0.0,0,0,0,0,0.5107,121791708,2.0,1783273343
ms,latency,1,1,1,1024,none,2.00,1000000,5,2000000,2.0000,1.000,133367.4,166,6243291,9635625,10008666,0.0000,122455250,32.7,1783273345
vyukov,latency,1,1,1,1024,none,2.00,1000000,5,2000000,2.0000,1.000,237.9,125,542,20708,97125,0.0000,122354667,31.8,1783273348
faa,latency,1,1,1,1024,none,2.00,1000000,5,2000000,2.0000,1.000,51167.9,83,1402166,9079750,10068958,0.0000,121332708,31.8,1783273350
mutex,latency,1,1,1,1024,none,2.00,1000000,5,2000000,2.0000,1.000,61681.3,209,1637209,10808167,11812959,0.0000,117548292,31.9,1783273353
moody,latency,1,1,1,1024,none,2.00,1000000,5,2000000,2.0000,1.000,894.0,167,333,144625,1397000,0.0000,124674375,31.8,1783273355
spsc,latency,1,1,1,1024,none,2.00,1000000,5,2000000,2.0000,1.000,351.4,166,416,38125,580541,0.0000,122391208,31.7,1783273358
ms,latency,4,4,1,1024,none,2.00,1000000,5,2000000,2.0000,1.000,11356.3,791,88625,3256416,4804208,0.0000,122780709,32.5,1783273360
vyukov,latency,4,4,1,1024,none,2.00,1000000,5,2000000,2.0000,1.000,2033.6,750,8792,330250,1276750,0.0000,114547709,31.7,1783273363
faa,latency,4,4,1,1024,none,2.00,1000000,5,2000000,2.0000,1.000,36869.8,333,346708,8496083,10006666,0.0000,117532375,31.7,1783273365
mutex,latency,4,4,1,1024,none,2.00,1000000,5,2000000,2.0000,1.000,85939.8,1417,2874500,9153917,10042000,0.0000,121682709,31.9,1783273368
moody,latency,4,4,1,1024,none,2.00,1000000,5,2000000,2.0000,1.000,180006.3,1041,6018958,19228208,21635458,0.0000,120976208,31.9,1783273370
ms,latency,4,4,4,1024,none,2.00,1000000,5,1997128,2.0000,0.999,18356153.7,9303250,147242750,223478542,240775417,0.0000,114409541,43.6,1783273373
vyukov,latency,4,4,4,1024,none,2.00,1000000,5,1969571,2.0000,0.985,15953948.3,8417208,95396166,176366083,187258541,0.0000,118556833,31.4,1783273375
faa,latency,4,4,4,1024,none,2.00,1000000,5,2000000,2.0000,1.000,3902287.6,1657583,32015875,48387542,55393708,0.0000,116458291,31.9,1783273378
mutex,latency,4,4,4,1024,none,2.00,1000000,5,2000000,2.0000,1.000,4584732.8,1446125,36207458,84574667,98252000,0.0000,123284292,32.1,1783273380
moody,latency,4,4,4,1024,none,2.00,1000000,5,2000000,2.0000,1.000,10063672.2,1659167,85970834,119124250,129763875,0.0000,120313291,32.1,1783273383
ms,throughput,1,1,1,1024,none,2.00,1000000,6,28712546,2.7364,10.493,0.0,0,0,0,0,0.0000,120310334,395.8,1783273388
vyukov,throughput,1,1,1,1024,none,2.00,1000000,6,237993081,2.0051,118.695,0.0,0,0,0,0,0.0000,122825000,1.2,1783273390
faa,throughput,1,1,1,1024,none,2.00,1000000,6,255701324,2.0026,127.685,0.0,0,0,0,0,0.0000,123284291,1.2,1783273393
mutex,throughput,1,1,1,1024,none,2.00,1000000,6,68039569,2.0041,33.951,0.0,0,0,0,0,0.0000,124702917,1.4,1783273395
moody,throughput,1,1,1,1024,none,2.00,1000000,6,53346899,2.0051,26.606,0.0,0,0,0,0,0.0000,113978625,1.2,1783273398
spsc,throughput,1,1,1,1024,none,2.00,1000000,6,753580938,2.0051,375.834,0.0,0,0,0,0,0.0000,114823083,1.1,1783273400
ms,throughput,2,2,1,1024,none,2.00,1000000,6,43106978,2.6021,16.566,0.0,0,0,0,0,0.1335,114763541,412.8,1783273403
vyukov,throughput,2,2,1,1024,none,2.00,1000000,6,49950182,2.0051,24.912,0.0,0,0,0,0,0.0107,124788500,1.2,1783273406
faa,throughput,2,2,1,1024,none,2.00,1000000,6,51656045,2.0051,25.762,0.0,0,0,0,0,0.0000,125236875,1.2,1783273408
mutex,throughput,2,2,1,1024,none,2.00,1000000,6,44888410,2.0051,22.387,0.0,0,0,0,0,0.0337,124172166,1.5,1783273410
moody,throughput,2,2,1,1024,none,2.00,1000000,6,25241952,2.0051,12.589,0.0,0,0,0,0,0.0005,127033000,1.3,1783273413
ms,throughput,4,4,1,1024,none,2.00,1000000,6,13774759,2.0325,6.777,0.0,0,0,0,0,0.0122,126821625,32.8,1783273415
vyukov,throughput,4,4,1,1024,none,2.00,1000000,6,19603581,2.0002,9.801,0.0,0,0,0,0,0.0152,124545542,1.4,1783273418
faa,throughput,4,4,1,1024,none,2.00,1000000,6,33330893,2.0051,16.623,0.0,0,0,0,0,0.0010,123627083,1.3,1783273420
mutex,throughput,4,4,1,1024,none,2.00,1000000,6,37671503,2.0048,18.791,0.0,0,0,0,0,0.0070,123978791,1.6,1783273423
moody,throughput,4,4,1,1024,none,2.00,1000000,6,15740867,2.0051,7.850,0.0,0,0,0,0,0.0990,126998500,1.4,1783273425
ms,throughput,1,7,1,1024,none,2.00,1000000,6,54515806,10.2665,5.310,0.0,0,0,0,0,0.0000,127208958,742.5,1783273436
vyukov,throughput,1,7,1,1024,none,2.00,1000000,6,11190733,2.0053,5.581,0.0,0,0,0,0,0.0000,122128958,1.2,1783273438
faa,throughput,1,7,1,1024,none,2.00,1000000,6,39019765,2.0051,19.460,0.0,0,0,0,0,0.0000,123468291,1.3,1783273441
mutex,throughput,1,7,1,1024,none,2.00,1000000,6,22950394,2.0043,11.451,0.0,0,0,0,0,0.0000,127679709,1.5,1783273443
moody,throughput,1,7,1,1024,none,2.00,1000000,6,14663113,2.0018,7.325,0.0,0,0,0,0,0.0000,122684625,1.4,1783273446
ms,throughput,7,1,1,1024,none,2.00,1000000,6,9657787,2.0089,4.808,0.0,0,0,0,0,0.0529,123613709,9.8,1783273448
vyukov,throughput,7,1,1,1024,none,2.00,1000000,6,7189786,2.0051,3.586,0.0,0,0,0,0,0.0061,120930584,1.3,1783273451
faa,throughput,7,1,1,1024,none,2.00,1000000,6,39501414,2.0051,19.700,0.0,0,0,0,0,0.0026,118579833,1.4,1783273453
mutex,throughput,7,1,1,1024,none,2.00,1000000,6,14093881,2.0052,7.029,0.0,0,0,0,0,0.0126,125069833,1.5,1783273455
moody,throughput,7,1,1,1024,none,2.00,1000000,6,15526430,2.0108,7.722,0.0,0,0,0,0,0.0718,125162208,1.5,1783273458
ms,throughput,2,6,1,1024,none,2.00,1000000,6,31672599,5.3450,5.926,0.0,0,0,0,0,0.0066,123329291,691.5,1783273464
vyukov,throughput,2,6,1,1024,none,2.00,1000000,6,12362845,2.0052,6.165,0.0,0,0,0,0,0.0023,121655958,1.3,1783273466
faa,throughput,2,6,1,1024,none,2.00,1000000,6,28899850,2.0051,14.413,0.0,0,0,0,0,0.0009,123707041,1.3,1783273469
mutex,throughput,2,6,1,1024,none,2.00,1000000,6,33076921,2.0051,16.497,0.0,0,0,0,0,0.0046,117941500,1.5,1783273471
moody,throughput,2,6,1,1024,none,2.00,1000000,6,17193338,2.0052,8.575,0.0,0,0,0,0,0.0012,124156750,1.4,1783273473
ms,throughput,6,2,1,1024,none,2.00,1000000,6,10333681,2.0059,5.152,0.0,0,0,0,0,0.0651,123121042,25.6,1783273476
vyukov,throughput,6,2,1,1024,none,2.00,1000000,6,11564647,2.0051,5.768,0.0,0,0,0,0,0.0073,117829333,1.4,1783273478
faa,throughput,6,2,1,1024,none,2.00,1000000,6,32629169,2.0051,16.273,0.0,0,0,0,0,0.0011,121572667,1.4,1783273481
mutex,throughput,6,2,1,1024,none,2.00,1000000,6,26176171,2.0040,13.062,0.0,0,0,0,0,0.0114,117752917,1.5,1783273483
moody,throughput,6,2,1,1024,none,2.00,1000000,6,13653893,2.0071,6.803,0.0,0,0,0,0,0.2652,120886708,1.4,1783273486
ms,throughput,4,4,2,1024,none,2.00,1000000,6,15519798,2.8044,5.534,0.0,0,0,0,0,0.0914,125511333,201.4,1783273489
vyukov,throughput,4,4,2,1024,none,2.00,1000000,6,4251390,2.0052,2.120,0.0,0,0,0,0,0.0392,123292625,1.5,1783273491
faa,throughput,4,4,2,1024,none,2.00,1000000,6,35863740,2.0009,17.924,0.0,0,0,0,0,0.0068,118274250,1.5,1783273494
mutex,throughput,4,4,2,1024,none,2.00,1000000,6,30733140,2.0052,15.327,0.0,0,0,0,0,0.0319,117376542,1.7,1783273496
moody,throughput,4,4,2,1024,none,2.00,1000000,6,15453092,2.0152,7.668,0.0,0,0,0,0,0.0842,124798000,1.7,1783273499
ms,throughput,4,4,4,1024,none,2.00,1000000,6,14952218,2.6874,5.564,0.0,0,0,0,0,0.1423,125643541,203.7,1783273502
vyukov,throughput,4,4,4,1024,none,2.00,1000000,6,3339194,2.0054,1.665,0.0,0,0,0,0,0.2180,121972458,1.8,1783273504
faa,throughput,4,4,4,1024,none,2.00,1000000,6,61912263,2.0038,30.897,0.0,0,0,0,0,0.0069,123634959,1.7,1783273507
mutex,throughput,4,4,4,1024,none,2.00,1000000,6,30059052,2.0052,14.990,0.0,0,0,0,0,0.0713,123012458,2.0,1783273509
moody,throughput,4,4,4,1024,none,2.00,1000000,6,16044401,2.0249,7.924,0.0,0,0,0,0,0.1491,123941625,2.0,1783273512
ms,throughput,4,4,1,1024,all-int,2.00,1000000,6,13474553,2.0128,6.694,0.0,0,0,0,0,0.0356,125364375,29.8,1783273514
vyukov,throughput,4,4,1,1024,all-int,2.00,1000000,6,16822971,2.0010,8.407,0.0,0,0,0,0,0.0473,124533750,1.4,1783273517
faa,throughput,4,4,1,1024,all-int,2.00,1000000,6,33497415,2.0051,16.706,0.0,0,0,0,0,0.0023,142980708,1.3,1783273519
mutex,throughput,4,4,1,1024,all-int,2.00,1000000,6,38021917,2.0051,18.962,0.0,0,0,0,0,0.0046,125325625,1.5,1783273521
moody,throughput,4,4,1,1024,all-int,2.00,1000000,6,15705857,2.0061,7.829,0.0,0,0,0,0,0.0599,123963166,1.4,1783273524
ms,throughput,4,4,1,1024,all-bg,2.00,1000000,6,9499301,2.9663,3.202,0.0,0,0,0,0,0.0611,122661959,161.8,1783273527
vyukov,throughput,4,4,1,1024,all-bg,2.00,1000000,6,860303,2.0053,0.429,0.0,0,0,0,0,0.0719,122574833,1.3,1783273530
faa,throughput,4,4,1,1024,all-bg,2.00,1000000,6,31374216,2.0053,15.646,0.0,0,0,0,0,0.0023,120468958,1.3,1783273532
mutex,throughput,4,4,1,1024,all-bg,2.00,1000000,6,7719148,2.0053,3.849,0.0,0,0,0,0,0.0213,124542167,1.4,1783273535
moody,throughput,4,4,1,1024,all-bg,2.00,1000000,6,4754196,2.0054,2.371,0.0,0,0,0,0,0.0311,117970000,1.5,1783273537
ms,throughput,4,4,1,1024,prod-bg,2.00,1000000,6,5066518,2.0053,2.527,0.0,0,0,0,0,0.0087,120417792,11.7,1783273539
vyukov,throughput,4,4,1,1024,prod-bg,2.00,1000000,6,9117329,2.0052,4.547,0.0,0,0,0,0,0.0116,125860208,1.3,1783273542
faa,throughput,4,4,1,1024,prod-bg,2.00,1000000,6,19427366,2.0051,9.689,0.0,0,0,0,0,0.0035,123841375,1.3,1783273544
mutex,throughput,4,4,1,1024,prod-bg,2.00,1000000,6,21513508,2.0049,10.730,0.0,0,0,0,0,0.0069,123238000,1.6,1783273547
moody,throughput,4,4,1,1024,prod-bg,2.00,1000000,6,9114159,2.0052,4.545,0.0,0,0,0,0,0.0692,121793750,1.4,1783273549
ms,throughput,4,4,1,1024,cons-bg,2.00,1000000,6,26790826,6.2975,4.254,0.0,0,0,0,0,0.0085,123952209,669.9,1783273556
vyukov,throughput,4,4,1,1024,cons-bg,2.00,1000000,6,8766869,2.0052,4.372,0.0,0,0,0,0,0.0171,122776042,1.4,1783273558
faa,throughput,4,4,1,1024,cons-bg,2.00,1000000,6,18564164,2.0052,9.258,0.0,0,0,0,0,0.0026,125382542,1.3,1783273561
mutex,throughput,4,4,1,1024,cons-bg,2.00,1000000,6,25235064,2.0052,12.585,0.0,0,0,0,0,0.0024,121705708,1.6,1783273563
moody,throughput,4,4,1,1024,cons-bg,2.00,1000000,6,3490658,2.0051,1.741,0.0,0,0,0,0,0.1962,119502458,1.4,1783273566
ms,throughput,4,4,4,64,none,2.00,1000000,6,14886641,2.7856,5.344,0.0,0,0,0,0,0.1289,123326042,223.9,1783273569
vyukov,throughput,4,4,4,64,none,2.00,1000000,6,1358633,2.0053,0.678,0.0,0,0,0,0,0.1466,123086042,1.7,1783273571
faa,throughput,4,4,4,64,none,2.00,1000000,6,4971732,2.0056,2.479,0.0,0,0,0,0,0.0010,121722250,1.7,1783273574
mutex,throughput,4,4,4,64,none,2.00,1000000,6,9363668,2.0035,4.674,0.0,0,0,0,0,0.0880,138568000,1.8,1783273576
ms,throughput,4,4,4,8192,none,2.00,1000000,6,14640799,2.8401,5.155,0.0,0,0,0,0,0.1217,126854750,211.0,1783273700
vyukov,throughput,4,4,4,8192,none,2.00,1000000,6,4911041,2.0167,2.435,0.0,0,0,0,0,0.0826,126214125,1.9,1783273702
faa,throughput,4,4,4,8192,none,2.00,1000000,6,43762174,2.0058,21.818,0.0,0,0,0,0,0.0318,124015291,1.8,1783273705
mutex,throughput,4,4,4,8192,none,2.00,1000000,6,31196412,2.0056,15.555,0.0,0,0,0,0,0.1145,123067875,2.3,1783273707
moody,throughput,4,4,4,8192,none,2.00,1000000,6,16612189,2.0385,8.149,0.0,0,0,0,0,0.5476,118529667,2.0,1783273710
ms,latency,1,1,1,1024,none,2.00,1000000,6,2000000,2.0000,1.000,1066.3,166,7958,152125,1229708,0.0000,122547959,31.9,1783273712
vyukov,latency,1,1,1,1024,none,2.00,1000000,6,2000000,2.0000,1.000,829.0,125,6750,95916,1253875,0.0000,123781500,31.7,1783273715
faa,latency,1,1,1,1024,none,2.00,1000000,6,2000000,2.0000,1.000,327.7,83,3416,34166,428458,0.0000,122762000,31.7,1783273717
mutex,latency,1,1,1,1024,none,2.00,1000000,6,2000000,2.0000,1.000,859.8,208,8875,35833,135917,0.0000,122742750,31.8,1783273720
moody,latency,1,1,1,1024,none,2.00,1000000,6,2000000,2.0000,1.000,28875.6,166,589291,6479041,7917375,0.0000,125352875,31.7,1783273722
spsc,latency,1,1,1,1024,none,2.00,1000000,6,2000000,2.0000,1.000,336.8,125,3625,31625,370792,0.0000,121363875,31.7,1783273725
ms,latency,4,4,1,1024,none,2.00,1000000,6,2000000,2.0000,1.000,1544.7,500,10709,171250,1903084,0.0000,122702541,32.3,1783273727
vyukov,latency,4,4,1,1024,none,2.00,1000000,6,2000000,2.0000,1.000,693.2,416,1958,31916,999666,0.0000,123910000,31.8,1783273730
faa,latency,4,4,1,1024,none,2.00,1000000,6,2000000,2.0000,1.000,2261.4,333,11542,556333,1966083,0.0000,126583375,31.8,1783273732
mutex,latency,4,4,1,1024,none,2.00,1000000,6,2000000,2.0000,1.000,5655.0,1709,43584,386459,1527959,0.0000,118298084,31.8,1783273735
moody,latency,4,4,1,1024,none,2.00,1000000,6,2000000,2.0000,1.000,665.3,459,1875,18750,1923834,0.0000,125009250,31.8,1783273737
ms,latency,4,4,4,1024,none,2.00,1000000,6,2000000,2.0000,1.000,9302184.6,7271125,31534000,84123083,115714291,0.0000,124328250,39.0,1783273740
vyukov,latency,4,4,4,1024,none,2.00,1000000,6,2000000,2.0000,1.000,5085846.7,1549292,39674000,56689167,71327667,0.0000,125418167,31.9,1783273742
faa,latency,4,4,4,1024,none,2.00,1000000,6,2000000,2.0000,1.000,1555930.1,865333,9016583,13779167,18477125,0.0000,117717584,31.9,1783273745
mutex,latency,4,4,4,1024,none,2.00,1000000,6,2000000,2.0000,1.000,6672259.2,1537250,59074750,119257584,140761667,0.0000,117284500,32.1,1783273747
moody,latency,4,4,4,1024,none,2.00,1000000,6,1985952,2.0000,0.993,8500601.8,1467083,68825000,98973208,111646542,0.0000,117456875,31.8,1783273750
ms,throughput,1,1,1,1024,none,2.00,1000000,7,49560689,4.0099,12.360,0.0,0,0,0,0,0.0000,122160792,704.0,1783273756
vyukov,throughput,1,1,1,1024,none,2.00,1000000,7,240625929,2.0051,120.009,0.0,0,0,0,0,0.0000,121703708,1.2,1783273759
faa,throughput,1,1,1,1024,none,2.00,1000000,7,260086263,2.0051,129.714,0.0,0,0,0,0,0.0000,124151125,1.3,1783273761
mutex,throughput,1,1,1,1024,none,2.00,1000000,7,69633079,2.0036,34.754,0.0,0,0,0,0,0.0000,122340000,1.3,1783273763
moody,throughput,1,1,1,1024,none,2.00,1000000,7,51279841,2.0051,25.575,0.0,0,0,0,0,0.0000,122215708,1.2,1783273766
spsc,throughput,1,1,1,1024,none,2.00,1000000,7,749137413,2.0051,373.623,0.0,0,0,0,0,0.0000,122934292,1.2,1783273768
ms,throughput,2,2,1,1024,none,2.00,1000000,7,41975659,2.4504,17.130,0.0,0,0,0,0,0.0114,119694167,332.0,1783273771
vyukov,throughput,2,2,1,1024,none,2.00,1000000,7,50735766,2.0051,25.303,0.0,0,0,0,0,0.1318,122899750,1.2,1783273774
faa,throughput,2,2,1,1024,none,2.00,1000000,7,52803925,2.0051,26.335,0.0,0,0,0,0,0.0019,121766583,1.2,1783273776
mutex,throughput,2,2,1,1024,none,2.00,1000000,7,47373547,2.0051,23.627,0.0,0,0,0,0,0.0218,122604166,1.4,1783273779
moody,throughput,2,2,1,1024,none,2.00,1000000,7,24961564,2.0051,12.449,0.0,0,0,0,0,0.0010,123139375,1.3,1783273781
ms,throughput,4,4,1,1024,none,2.00,1000000,7,13572019,2.0452,6.636,0.0,0,0,0,0,0.0557,122879375,29.0,1783273784
vyukov,throughput,4,4,1,1024,none,2.00,1000000,7,17118382,2.0051,8.537,0.0,0,0,0,0,0.0126,105908333,1.3,1783273786
faa,throughput,4,4,1,1024,none,2.00,1000000,7,37698915,2.0006,18.844,0.0,0,0,0,0,0.0047,121976041,1.3,1783273788
mutex,throughput,4,4,1,1024,none,2.00,1000000,7,36384556,2.0048,18.149,0.0,0,0,0,0,0.0032,122833792,1.6,1783273791
moody,throughput,4,4,1,1024,none,2.00,1000000,7,15281601,2.0051,7.621,0.0,0,0,0,0,0.0654,113535125,1.3,1783273793
