queue,mode,producers,consumers,oversubscribe,capacity,qos,seconds,rate,trial,ops,elapsed_s,throughput_mops,mean_ns,p50_ns,p99_ns,p999_ns,max_ns,fair_cov,calib_ns,unix_time
moody,throughput,4,4,4,1024,none,2.00,1000000,0,15910169,2.0054,7.934,0.0,0,0,0,0,0.1214,125473209,1783189090
ms,throughput,4,4,1,1024,all-int,2.00,1000000,0,11994774,2.0054,5.981,0.0,0,0,0,0,0.0292,116546541,1783189093
vyukov,throughput,4,4,1,1024,all-int,2.00,1000000,0,16020496,2.0053,7.989,0.0,0,0,0,0,0.0374,121647834,1783189095
faa,throughput,4,4,1,1024,all-int,2.00,1000000,0,35480217,2.0003,17.737,0.0,0,0,0,0,0.0007,104622208,1783189098
mutex,throughput,4,4,1,1024,all-int,2.00,1000000,0,38093069,2.0004,19.043,0.0,0,0,0,0,0.0053,117915167,1783189100
moody,throughput,4,4,1,1024,all-int,2.00,1000000,0,16069104,2.0060,8.011,0.0,0,0,0,0,0.0473,115314084,1783189102
ms,throughput,4,4,1,1024,all-bg,2.00,1000000,0,7793608,2.8065,2.777,0.0,0,0,0,0,0.0570,124715375,1783189106
vyukov,throughput,4,4,1,1024,all-bg,2.00,1000000,0,963896,2.0055,0.481,0.0,0,0,0,0,0.2254,122249750,1783189108
faa,throughput,4,4,1,1024,all-bg,2.00,1000000,0,34048584,2.0054,16.979,0.0,0,0,0,0,0.0020,121320417,1783189111
mutex,throughput,4,4,1,1024,all-bg,2.00,1000000,0,6783946,2.0023,3.388,0.0,0,0,0,0,0.0158,125732334,1783189113
moody,throughput,4,4,1,1024,all-bg,2.00,1000000,0,5904643,2.0053,2.944,0.0,0,0,0,0,0.0339,122204500,1783189115
ms,throughput,4,4,1,1024,prod-bg,2.00,1000000,0,4634492,2.0052,2.311,0.0,0,0,0,0,0.0092,112078708,1783189118
vyukov,throughput,4,4,1,1024,prod-bg,2.00,1000000,0,10796241,2.0052,5.384,0.0,0,0,0,0,0.0403,123953875,1783189120
faa,throughput,4,4,1,1024,prod-bg,2.00,1000000,0,23573622,2.0052,11.756,0.0,0,0,0,0,0.0025,171491875,1783189123
mutex,throughput,4,4,1,1024,prod-bg,2.00,1000000,0,18827428,2.0051,9.390,0.0,0,0,0,0,0.0080,104917084,1783189125
moody,throughput,4,4,1,1024,prod-bg,2.00,1000000,0,8877410,2.0052,4.427,0.0,0,0,0,0,0.0333,120322334,1783189128
ms,throughput,4,4,1,1024,cons-bg,2.00,1000000,0,27045016,6.2599,4.320,0.0,0,0,0,0,0.0119,123149250,1783189134
vyukov,throughput,4,4,1,1024,cons-bg,2.00,1000000,0,10370859,2.0052,5.172,0.0,0,0,0,0,0.0048,121978542,1783189137
faa,throughput,4,4,1,1024,cons-bg,2.00,1000000,0,19909955,2.0034,9.938,0.0,0,0,0,0,0.0035,119640792,1783189139
mutex,throughput,4,4,1,1024,cons-bg,2.00,1000000,0,25118586,2.0007,12.555,0.0,0,0,0,0,0.0006,124159375,1783189142
moody,throughput,4,4,1,1024,cons-bg,2.00,1000000,0,4719167,2.0052,2.353,0.0,0,0,0,0,0.2308,121006250,1783189144
ms,latency,1,1,1,1024,none,2.00,1000000,0,2000000,2.0000,1.000,650.6,167,10834,54709,446000,0.0000,103053458,1783189147
vyukov,latency,1,1,1,1024,none,2.00,1000000,0,2000000,2.0000,1.000,265.6,125,2542,24250,123875,0.0000,122032208,1783189149
faa,latency,1,1,1,1024,none,2.00,1000000,0,2000000,2.0000,1.000,734.1,83,2875,92208,1294166,0.0000,119081416,1783189151
mutex,latency,1,1,1,1024,none,2.00,1000000,0,2000000,2.0000,1.000,4352.7,208,15333,1168667,2243333,0.0000,121687583,1783189154
moody,latency,1,1,1,1024,none,2.00,1000000,0,2000000,2.0000,1.000,336.6,167,2667,35750,148000,0.0000,101711916,1783189156
spsc,latency,1,1,1,1024,none,2.00,1000000,0,2000000,2.0000,1.000,305.1,167,3250,26834,354209,0.0000,122561417,1783189159
ms,latency,4,4,1,1024,none,2.00,1000000,0,2000000,2.0000,1.000,2299.5,708,13916,370166,2410208,0.0000,114449458,1783189161
vyukov,latency,4,4,1,1024,none,2.00,1000000,0,2000000,2.0000,1.000,1939.2,667,8375,320584,7404959,0.0000,122858584,1783189164
faa,latency,4,4,1,1024,none,2.00,1000000,0,2000000,2.0000,1.000,3227.6,334,9834,992000,2931167,0.0000,103026917,1783189166
mutex,latency,4,4,1,1024,none,2.00,1000000,0,2000000,2.0000,1.000,6570.3,1792,48750,636375,1728584,0.0000,117057917,1783189169
moody,latency,4,4,1,1024,none,2.00,1000000,0,2000000,2.0000,1.000,851.4,458,2292,78833,1701583,0.0000,118339542,1783189171
ms,latency,4,4,4,1024,none,2.00,1000000,0,2000000,2.0000,1.000,7516326.9,5977584,29149542,38270459,51141875,0.0000,118175875,1783189174
vyukov,latency,4,4,4,1024,none,2.00,1000000,0,2000000,2.0000,1.000,5196618.0,1561042,39434709,61642500,72168709,0.0000,123165708,1783189176
faa,latency,4,4,4,1024,none,2.00,1000000,0,2000000,2.0000,1.000,1591886.2,859292,10983125,23426625,29764333,0.0000,123206875,1783189179
mutex,latency,4,4,4,1024,none,2.00,1000000,0,2000000,2.0000,1.000,6402725.8,1438167,50237375,73076459,84188584,0.0000,141882250,1783189181
